actual,predicted,detected_language,excerpt
Positive,Average,dutch,"Weten wanneer je een film moet beëindigen is net zo belangrijk als casten, regisseren en acteren. En het is leuk om te zien wanneer een regisseur/script het goe"
Positive,Average,dutch,The Last Wave is een van die films die sterk afhankelijk zijn van de geest. De titel verwijst naar de Aboriginal doemsdagtheorie: er zal nog een laatste golf zi
Positive,Average,dutch,"Misschien wel de meest aangrijpende en intelligente misdaadfilm is Otto Preminger's 'Where the Sidewalks Ends', naar een uitstekend script van Ben Hecht, gebase"
Positive,Average,dutch,Ook bekend als de Grote Spookoorlog. The Great Yokai War is Miike's poging tot een familiefilm en hij doet het ook verdomd goed. Het probleem is dat ik me niet
Positive,Average,english,"This is one of the first independent movies I've ever seen. For such a very low budget, it was done well; as an insomniac myself, I can sympathize with the main"
Positive,Average,dutch,Dit was een mooi voorbeeld van hoe een interessante film gemaakt kan worden zonder gebruik te maken van grote sterren en grote effecten. Vertel gewoon een waarg
Average,Positive,dutch,Ik ben een grote fan van Morgan Freeman. 'The Shawshank Redemption' staat bovenaan mijn favoriete films aller tijden. Maar ik moet toegeven dat ik me vaak heb a
Positive,Average,dutch,Ik twijfel er niet aan dat Victor McLaglen zijn Oscar voor Beste Acteur voor deze film heeft gewonnen vanwege een drievoudige verdeling tussen de Mutiny on the
Positive,Average,dutch,"Dit is de meest meeslepende en uitmuntende prestatie die Robert Taylor ooit heeft gegeven. Het overtreft zelfs zijn geweldige optreden als ""Johnny Eager"", veert"
Negative,Average,dutch,Tashan - de titel zelf verklaart de aard van de film.<br /><br />Dit soort films zijn eigenlijk gemaakt voor de flop. Wat jammer dat Yash Raj Films zulke films
Negative,Average,dutch,"Dr. K (David H Hickey) probeert een formule onder de knie te krijgen die een einde zou maken aan alle ziekten en handicaps, maar heeft levende donoren nodig om "
Average,Positive,dutch,"Ik zag deze film toen ik klein was: hij heette ""Glacier Fox"". Ik was er helemaal getraumatiseerd door! Het volgt een schattige kleine vossenfamilie. Het begin w"
Average,Positive,dutch,"THE FOX AND THE CHILD is de nieuwste film van MARCH OF THE PENGUINS-filmmaker Fransman Luc Jacquet. De film, met slechts één mens in de cast, de jonge actrice B"
Positive,Average,dutch,Na een moeilijke periode van zeven jaar op NBC werd besloten om nog één laatste Super-aflevering uit te voeren. De Series was verschillende keren op de markt ge
Average,Positive,dutch,"Eigenlijk heeft deze film gekke momenten, zowel in het claymation-gedeelte als in het Joe Pesci en kinderen-gedeelte, en het is veel erger dan andere MJ-films z"
Positive,Average,dutch,"Ik heb een flyer meegenomen om deze film te huren, maar ik moet zeggen dat hij heel erg goed was. Op alle fronten: script, cast, regisseur, fotografie en hoge p"
Average,Positive,dutch,"Ik haat het om recensies te lezen die zoiets zeggen als: 'Verspil je tijd niet, deze film stinkt naar ijs.' Voor die recensent heeft het voor mij misschien een "
Positive,Average,dutch,Met trots kan ik zeggen dat ik een onversneden exemplaar bezit van dit heerlijke stuk Crown International drive-in sexploitation comedy cheese uit de jaren 70 o
Positive,Average,dutch,"Ik hield van deze film. Het landschap was adembenemend, de plot had een aantal leuke wendingen en de karakters waren goed afgerond. Op twee fronten scoorde ‘Rob"
Positive,Average,dutch,Dit is een echte eye-candy. Een wereld gemaakt van drijvende eilanden en vliegende oude steden. Enorme monsters wier favoriete aanvalsmethode het gooien van kat
Positive,Average,dutch,"Disney, de filmnaam die ooit stond voor alles wat onschuldig en geschikt is voor alle leeftijden, begint eindelijk te beseffen dat het diverser moet worden om t"
Average,Positive,dutch,"Vader is nog steeds op zakenreis, kopte een recensie na de première van 'Promise Me This' in Cannes. Ik begrijp wel waarom velen denken dat dezelfde maar unieke"
Average,Positive,dutch,"Ik ben een grote liefhebber van klassieke films, maar ik begin net met stomme films. Veel stomme films houden mijn aandacht niet vast, maar Show People is een o"
Positive,Average,dutch,Na het bekijken van meerdere afleveringen van deze serie ben ik tot de conclusie gekomen dat televisieproducenten totaal verstoken zijn van enige vorm van origi
Positive,Average,dutch,"Michael Winner is waarschijnlijk het meest bekend om zijn films met wraakthema's, zoals ""Death Wish"" en ""Chato's Land"", maar hij is net zo begaafd als regisseur"
Negative,Average,dutch,Hier zijn enkele voorbeelden van Pat Robertsons die twijfelachtig beweerde dat hij een “relatief goede staat van dienst” had op het gebied van voorspellingen<br
Average,Positive,dutch,"Dit is hoe ik over de show denk.<br /><br />Ik begon de show in herhalingen te bekijken in 2001.<br /><br />Ik geniet van de show, maar er zaten te veel fouten "
Average,Positive,dutch,Verwacht geen weergave van de ‘waarheid’. De verhalen van deze veteranen uit de oorlogen in Irak en Afghanistan vereisen echter een zorgvuldige overweging. <br
Average,Positive,dutch,"Het probeert het epische avontuur van de eeuw te zijn. En met een cast als Shó Kasugi, Christopher Lee en John-Rhys Davies is het werkelijk het perfecte B-avont"
Positive,Average,english,"The fully rounded character of the principal role of this movie, that of the cop torn up by his past and on a path of self-destruction so clear to the viewer, i"
Negative,Average,dutch,"De Slackers, zoals genoemd in deze film, zijn drie studievrienden Dave, Jeff en Sam (respectievelijk Devon Sawa, Michael Maronna en Jason Segel), die op het pun"
Positive,Average,dutch,"Deze film is als marmite. Je houdt ervan of je haat het. Als je deze film binnengaat en een goede film verwacht met fatsoenlijke productiewaarden, een goed plot"
Positive,Average,dutch,"In een klein stadje in Montana groeien twee broers op. Eén van hen is Norman (Craig Sheffer), de ander is Paul (Brad Pitt). Hun vader is dominee Maclean en ze g"
Average,Negative,dutch,"Deze krijgt overal op de kaart recensies omdat hij niet in elke mal past. Het is horror, maar geen spetterfestijn. Het is zowel spanning als horror, maar dan zo"
Positive,Average,dutch,"Damon Runyons wereld op Times Square in New York, voorafgaand aan de Disneyficatie, vormt de basis voor deze musical. Joseph L. Mankiewicz, een man die verstand"
Average,Positive,dutch,"Dit is een behoorlijk saaie film. Goed gefotografeerd met realistische uitvoeringen, vooral een zeer goede van Depardieu als een cad en bad boy met overal een r"
Average,Positive,dutch,Voor Urban Cowboy speelt John Travolta een van de sterkere alfamannetjes die ooit op het grote scherm zijn geportretteerd. Hij is een fatsoenlijk genoeg jonge j
Average,Positive,dutch,"Ik vraag me nog steeds af waarom ik deze film heb gezien. Toegegeven, voordat ik deze film bekeek, wist ik vrijwel niets van de Beatles. Ik kende niet eens al h"
Positive,Average,dutch,Richard Willaims is een animatiegod. Bij het regisseren van deze film werd hij door de producent gehinderd. Het eindproduct is een zeer ongelijkmatige film met
Positive,Average,dutch,"De basisverhaallijn hier is: Aditiya (Kumar) is de verwende zoon van een miljonair, Ishwar (Bachan) die eigenaar is van een speelgoedindustrie. In Ishwar's ogen"
Average,Positive,dutch,"Trey Parker en Matt Stone, de makers van de show 'South Park', keren terug met iets heel anders. Ze creëren een nieuwe sport die honkbal en basketbal combineert"
Average,Negative,dutch,"Het is niet verfijnd, en niemand op de aftiteling heeft een geweldige carrière gehad, maar over het geheel genomen, omdat er geen beroemde persoonlijkheden zijn"
Positive,Average,dutch,Eerlijk gezegd is deze film over de hoofden van de meeste tegenstanders heen gegaan.<br /><br />Het tegenovergestelde van verderf (verloren zijn) is verlossing
Positive,Average,dutch,"Dit is nog steeds de maatstaf om alle whodunnits uit de Gouden Eeuw op te beoordelen, en rekening houdend met de beperkte technologie en twijfelachtige ethische"
Positive,Average,dutch,Zelfs in de 21e eeuw is het krijgen van kinderen gevaarlijk: vrouwen krijgen miskramen en bevallen voortijdig. Vijfenzeventig jaar geleden was het niet ongebrui
Positive,Average,english,"First and foremost I would like to say that I'm a huge Sarah Silverman fan, and having other people say that and then rag on the pilot is beyond me. Everything "
Positive,Average,dutch,"Als iemand die in de buurt van Buffalo, New York woont, scoorde deze film bij mij al punten voordat ik hem zelfs maar zag, aangezien het verhaal hier is gebasee"
Positive,Average,dutch,Een zachtaardige jonge bergman met een droevig verleden (Henry Thomas) komt een verlaten babymeisje tegen in het bos en wordt op slag verliefd op haar. De stads
Average,Positive,dutch,Dit is de eerste uit de Guinea Pig-serie en is een van de beruchtste films uit de collectie.<br /><br />Het heeft lang geduurd voordat ik eindelijk een exemplaa
Average,Positive,dutch,"Ik zag dit vorige week op SBS TV hier in Australië, met de titel ""Laputa: Castle in the sky"". Ik had ondertitels ingeschakeld en ik denk dat SBS daarvoor hun ei"
Average,Positive,dutch,Mijn broers en zussen en ik kwamen The Champions tegen toen onze plaatselijke zender op een zomer in de jaren zeventig herhalingen ervan uitzond. Wij waren er a
Positive,Average,dutch,Ik was op dezelfde scenarioschrijversconferentie en zag de film. Ik vond dat de schrijfster – Sue Smith – heel duidelijk samenvatte waar de film over ging. De f
Average,Positive,dutch,Soylent Green is een van de beste en meest verontrustende sciencefictionfilms van de jaren zeventig en zelfs naar huidige maatstaven nog steeds zeer overtuigend
Positive,Average,english,"John Waters has given us a genuinely enjoyable film. This certainly isn't without its shocking Waters-esque moments, but it is tamer than his older culty stuff,"
Negative,Average,dutch,"Deze film bewijst dat de ‘commerciële’ cinema, of anders de Hollywood-films, in een ernstige crisis verkeren. Er is absoluut geen reden dat deze film geproducee"
Average,Positive,dutch,"Ik heb zojuist deze geweldige, goedaardige parodie op Night of the Living Dead gezien, en ik moet zeggen dat het zo verschrikkelijk en zo oubollig was dat het u"
Positive,Average,dutch,"Garde Ã Vue moet een aantal keren gezien worden om de subplots die het bevat te begrijpen. Als je niet gewend bent aan Franse langdradige films, gebaseerd op co"
Positive,Average,dutch,"Ik voelde me meegezogen in de wereld van de manipulatie van geest en wil, die centraal staat in het verhaal. Het acteerwerk van Nolte, Lee, Arkin en de onderste"
Positive,Average,english,"It's interesting how the train of research can flow. I started out looking at an article about Cristo's ""The Gates"" in Central Park. The article stated that the"
Average,Negative,dutch,Volgens dit bord denk ik dat je er dol op bent of er een hekel aan hebt. Normaal gesproken gaat dat met alle films. Het is echter niet nodig om met anderen op d
Positive,Average,dutch,"Omdat ik al eerder van Modesty Blaise had gehoord, maar nog nooit een roman of stripverhaal had gelezen, vonden mijn vrouw en ik de film erg leuk. Het leverde o"
Positive,Average,english,"I saw this film at the Toronto International Film Festival. Not as salacious as it sounds, this is a three-part documentary (each episode is 50 minutes) featuri"
Positive,Negative,dutch,Ik zou deze show een tien op tien geven als de scheetgrappen er niet waren. Jullie mensen zijn zo verdomd gevoelig dat het zinloos is! Zo snel wijzen ze op het
Negative,Positive,dutch,"Deze show is een perfect voorbeeld van hoe de CBC zich moet houden aan nieuws, sport of satirische sketchcomedy. Als ontwikkelaar van komische tv-series heeft C"
Average,Positive,dutch,"Hoe strakker het drama, hoe beter de film over zusterrivaliteit! Dit juweeltje werd bij de release in Zweden vooral gepromoot als komedie, dus ik ben blij dat d"
Positive,Average,dutch,Nog zo'n film waar je van vrienden over hoort (...of waarover je leest op IMDb). Er zitten niet veel valse noten in deze. Ik kon zien hoe ongeveer alles hier we
Positive,Average,dutch,De film gaat over Anton Newcombe. De muziek en carrières van de twee bands vormen slechts een achtergrond. Het is alleen maar eerlijk dat Newcombe het laatste w
Positive,Average,dutch,"Nou ja, natuurlijk niet, vrouwen zijn over het algemeen overdreven gevoelig en behoeftig, wat interessant wordt weergegeven van moeder tot hoer, hoewel er niet "
Average,Positive,dutch,"Goed gemaakt maar eigenlijk somber low-life melodrama dat, volgens het begeleidende interview met hoofdrolspeler Isabelle Huppert, schrijver/regisseur Pialat, d"
Positive,Average,dutch,"Op het eerste gezicht lijkt deze film niet bepaald geweldig. Een Bette Davis-film met slechts 166 stemmen op IMDb en een beoordeling van 6,5 moet immers een beh"
Average,Positive,dutch,Ik dacht eerder dat deze film de lamste van de Muppet-films was. Ik wil die uitspraak nu graag intrekken. Naar mijn mening was de saaiste MUppet-film de tv-film
Positive,Average,dutch,"Ik heb enorm genoten van deze mysterieuze thrillerfilm uit 1945 over een jonge vrouw, Nina Foch (Julia Ross), die zonder werk zit, een huurachterstand heeft opg"
Negative,Average,dutch,Deze film heeft alle kenmerken van te veel koks die de stoofpot bederven. Gebaseerd op de autobiografie van Shielah Graham lijkt het erop dat de machthebbers he
Average,Positive,dutch,"Deze film is een geweldige non-stop lachrel die alle gebruikelijke ingrediënten van een Dawid Dhawan-komedie bevat: stuntelige helden, gekke ondersteunende pers"
Positive,Average,dutch,"Omdat ik de films nog niet eerder had gezien (en Matt Damon niet kon uitstaan), aarzelde ik om naar The Bourne Ultimatum te gaan toen ons werd gevraagd om het t"
Positive,Average,dutch,"Afgezien van de gebruikelijke stereotypen uit de jaren dertig, Eugene Pallette als de norse rechercheur bij de politie, Jack La Rue als de ‘donkere’ Italiaan en"
Positive,Average,dutch,"Als mijn verwachtingen niet werden overtroffen, werden ze zeker waargemaakt. ""Nancy Drew"" werkt zowel als mysterie als als komedie. Het is een eerbetoon aan de "
Positive,Average,english,. . .but it was on a UHF channel and the reception was very fuzzy. I'd really like to own the movie since the reason I watched it in the first place is because
Average,Positive,dutch,"Ik zag de laatste vijf of tien minuten van deze film in 1998 of 1999 op een avond toen ik aan het surfen was voordat ik naar bed ging, en ik vond wat ik zag erg"
Negative,Average,dutch,"Er zijn zoveel reacties op deze film, maar ik vond ze misleidend. Dit is een overdreven, overdreven scenario waarin een normaal mens zonder duidelijke reden een"
Positive,Average,english,"This is the Neil Simon piece of work that got a lot of praises! ""The Odd Couple"" is a one of a kind gem that lingers within. You got Felix Ungar(Jack Lemmon); a"
Positive,Average,dutch,"Het symbolische gebruik van objecten, de vormbewerking, de positie van de personages in de scène... het werd allemaal met zo'n vreugdevolle overgave door Hitchc"
Average,Positive,dutch,"Ik verwacht niet dat deze film goed begrepen zal worden door kijkers uit Roemenië. Dit vertelt zeker iets over de waarde, of misschien over het gebrek aan unive"
Positive,Average,dutch,"Met de snelle afwisseling van scènes van krankzinnige mensen in een gesticht, en montage/superpositie van beelden, en vage, met elkaar verweven verhalen, is dit"
Positive,Average,english,"Classic, highly influential low budget thriller that gave birth to a horror icon and launched the careers of both director Carpenter and star Curtis.<br /><br /"
Average,Negative,dutch,Was dit gebaseerd op een stripboek? Een videogame? Een tekening van een 3-jarige? <br /><br />Er is helemaal niets in deze film dat serieus genomen moet worden;
Positive,Average,dutch,"Als je moeite hebt met het opschorten van ongeloof, dan is dit niets voor jou. Denk eens na: een vrouw die al op middelbare leeftijd is, vindt een pasgeboren ba"
Average,Positive,dutch,"Terwijl ze op haar sterfbed ligt, herhaalt Ann Lord (Vanessa Redgrave) de naam ""Harris"" en herinnert ze zich de dag in de jaren 50 toen ze een aspirant-zangeres"
Average,Positive,dutch,Ik heb deze film een ​​paar weken geleden gezien en sindsdien zit hij in mijn hoofd. Er spelen twee betoverende personages in een helaas middelmatige documentai
Average,Positive,dutch,Op een avond ving ik de laatste helft van deze film op via de kabel en het viel me op hoe morbide het was. Zelfs als een van de twee slachtoffers het meest acht
Average,Positive,dutch,Luister niet naar de preutse critici die waarschijnlijk bittere gamers zijn die nog steeds pijn hebben van de geroosterde Silverman die ze een paar maanden gele
Average,Positive,dutch,Sandler is weer geweldig... Ik ben al een Sandler-fan geworden. Deze film is het meest trieste Sandler-verhaal. De uitdrukking is fantastisch. Ik huilde meer bi
Average,Positive,dutch,"Der Todesking is niet bepaald het soort film waar je vrolijk van wordt… Jörg Buttgereits tweede cultmonument op rij, dat eigenlijk een stuk beter is dan het ber"
Average,Positive,dutch,Ik had deze film sinds eind jaren 80 niet meer gezien en besloot de VHS-versie ervan op te halen. De plot is erg traag en de acteurs lijken bijna robotachtig in
Positive,Average,dutch,Oorspronkelijk huurde ik deze film voor mijn dochter omdat ze dol is op voetbal - en op die manier werd ik niet teleurgesteld (behalve dat de plot de voetbalscè
Average,Positive,dutch,Tijdens het repeteren van Carmen van Bizet neemt de middelbare choreograaf Antonio (Antonio Gades) de sexy Carmen (Laura del Sol) mee om de hoofdrol te vertolke
Positive,Average,dutch,"Een heel ander onderwerp dat in deze film wordt behandeld. Een duidelijke en eenvoudige beschrijving van lokale Chinese gebruiken, door te kijken naar de dageli"
Negative,Positive,dutch,deze film levert. het beste is wanneer de onhandige tienerbuurman probeert weg te fietsen van de babysitter en op de achtergrond lijkt alsof hij nog nooit in de
Positive,Average,dutch,"Shinjuku Triad Society is, zij het van perfectie, een zeer meeslepende film voor wat hij probeert weer te geven in zijn uiterst conventionele rijk. Het is een y"
Average,Positive,dutch,"In 2006 bekroonde de AMPAS een van de meest innovatieve documentaires over wilde dieren op de koudste plek op aarde: March of the Penguins, verteld door Oscar-w"
Negative,Positive,dutch,"James Gandolfini is een goede acteur, dus wat heeft hij ooit een rol gespeeld in dit stuk niet-grappige onzin. Affleck is slechts een lichtgewicht die het gewoo"
Average,Positive,dutch,Ik beschouw dit als de beste van de Zorro-hoofdstukken. De opwindende muziekscore voegt punch toe aan een opwindend scenario. Er is een uitstekende ondersteunen
Average,Positive,dutch,"Misschien hoopte Disney op nog een Mary Poppins, maar dit is een heel ander verhaal en hoewel Angela geweldig is, was ze een heel andere artiest dan de geweldig"
Positive,Average,dutch,"Ik had deze op mijn TIVO geplaatst voor een regenachtige dag vanwege de cast en een aantal heel hardwerkende mensen in de industrie, en toen ik eindelijk keek, "
Average,Positive,dutch,"Een prachtig stukje kinderfilm, begraven in een wereld van archaïsch Keltischisme. Het verhaal speelt zich af rond het beroemde Boek van Kels, vermoedelijk same"
Average,Positive,dutch,Branagh en Fishburne leveren uitstekende prestaties in deze versie van de Shakespeare-klassieker. Branagh speelt Iago beter dan ik het personage in film of op h
Positive,Average,dutch,"Hoewel ik mezelf geen grote fan van sprookjesfilms beschouw, intrigeerde Stardust me omdat ik Michelle Pfeiffer in de trailers als slechterik zag (vooral omdat "
Average,Positive,dutch,Een charmante kleine film die zich afspeelt in Groot-Brittannië over de reünie van een (bijna) meidenswingband uit de Tweede Wereldoorlog. Een fijne cast van ou
Positive,Average,dutch,Ongeveer een jaar geleden keek ik naar het tv-nieuws toen er een verhaal werd uitgezonden over een zombiefilm die in mijn omgeving werd opgenomen. Sindsdien heb
Positive,Average,dutch,"Ik heb bepaalde films op schijf gekocht, ook al was de tweederangspresentatie geen optie. Een bepaald bedrijf dat ik hier niet zal noemen, heeft verschillende p"
Average,Positive,dutch,Gezien de aard en herkomst van de 11 filmmakers is het niet verwonderlijk dat deze film op zijn best neutraal staat tegenover Amerika. Het meest 'anti'-segment
Positive,Average,english,"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than "
Positive,Average,english,"I admit I had some trepidation when I first saw the previews for this film. Was VH-1 treading on hollow ground here? I mean, Harris and Quinn don't really look "
Average,Positive,dutch,"Onze perverse duivel heeft het goed gedaan tijdens zijn eerste keer, dat is zeker. De muziek is de beste die een mens ooit zal horen, maar dat weet je al, tenzi"
Positive,Average,dutch,"Dit is een uitstekende, snelle thriller van Wes Craven (Nightmare on Elm Street), die 85 minuten lang het bovennatuurlijke terzijde laat en ons iets nog angstaa"
Positive,Average,dutch,"Een aantal posters hebben gereageerd op de onbevredigende conclusie. Dit is altijd een probleem bij lange, complexe drama's. Misdaad is in wezen banaal, dus de "
Positive,Average,dutch,"Dit zal waarschijnlijk niet verkozen worden tot beste komedie van het jaar, een paar te veel toevalligheden en plotgaten. We hebben het echter over een film waa"
Positive,Average,dutch,"Ik herinner me dat de trailer van Legend of Zu behoorlijk indrukwekkend was en als fan van A Man Called Hero (mijn favoriet aller tijden), Storm Riders, besloot"
Positive,Average,dutch,"Preston Waters, een 11-jarige jongen, heeft problemen met zijn ouders en broers, vooral vanwege geldproblemen. Hij is gek om zijn eigen huis en zijn eigen regel"
Average,Positive,dutch,"Toen ik deze film opnieuw keek, kwamen er echt geweldige jeugdherinneringen naar boven. Ik ben nu 34 en heb het niet meer gezien sinds ik 12-14 was. Ik was deze"
Average,Positive,dutch,"Een mooie Shirely Temple short. Kindacteurs die hun tekst schreeuwden, leken de norm voor die dag en tijd. Misschien moest het ‘gezien en niet gehoord’ worden g"
Positive,Average,dutch,"Ik heb hem nooit op tv gezien, maar heb de dvd via Netflix gehuurd zodra ik ontdekte dat hij beschikbaar was. Ik had hoge verwachtingen en werd niet teleurgeste"
Average,Positive,dutch,"Deze werd geregisseerd door Ruggero Deodato, een waar icoon voor veel horrorfilmfans nadat hij de baanbrekende en beruchte Cannibal Holocaust regisseerde. Verwa"
Positive,Average,dutch,Ik heb gisteravond Detention gezien en wat ik zag vond ik leuk. Het was een coole leuke film. Dolph zag er geweldig cool uit op de fiets. Hij zag er ook goed ui
Average,Positive,dutch,A Family Affair neemt ons mee terug naar een minder gecompliceerde tijd in Amerika. Het is ontnuchterend om te zien hoe anders alles toen was. Het was een onsch
Positive,Average,dutch,Maléfique is een zeer interessante film. Het is een onheilige combinatie van triomfen en mislukkingen. Het centrale concept is geweldig: drie gevangenen met biz
Positive,Average,dutch,"Ik ben helemaal niet kieskeurig als het om horrorfilms gaat, en ik ben bereid ze vrijwel allemaal te bekijken. Dat betekent niet dat ik bereid ben veel ervan op"
Average,Positive,dutch,"Mardi Gras: Made in China is een uitstekende film die laat zien hoe twee culturen veel gemeen hebben, maar zich niet eens bewust zijn van de invloed die elke sa"
Positive,Average,dutch,"Sommige films slagen erin om bijna alleen op originaliteit te overleven - ""Wonderland"" is zeker een van die films. Het script slaagt erin om alles in een bijna "
Average,Positive,dutch,"deze film maakte me zo bang, ik ben echter snel bang, dus het is niet zo erg, maar deze film was eng en wie niet bang was voor deze film, ik ben verrast omdat i"
Positive,Average,dutch,"Direct volgend op het punt waar het verhaal ophield in deel één, is de tweede helft, waarin de onvermijdelijke ondergang en de veel grimmiger kant van de erfeni"
Positive,Average,dutch,"Goede spannende film, al lijkt het mij dat hij niet op locatie in Thailand is opgenomen, toch ziet hij er realistisch uit. Mooi verhaal over een aantal meiden d"
Average,Positive,dutch,"Ik ben een Jodie Foster-fan sinds we allebei kinderen waren, uit haar Disney-jaren. Ik hield van haar tomboy-capriolen in films als Candleshoe.<br /><br />'Foxe"
Average,Positive,dutch,"Een goed gemaakte, alledaagse film met een tragisch einde. Pluspunten: De manier waarop het verhaal zich ontwikkelt - begint met Soorya die worstelt om te leven"
Positive,Average,dutch,"Alle goede films ""inspireren"" een aantal direct-naar-video-copycat-films. Ik was bang dat ""Gladiator"" niet echt een goede film was, omdat ik al maanden geen enk"
Average,Positive,dutch,ik vond het behoorlijk interessant mijn leraar sociale studies/taalkunsten was de politiechef die de microfoon vasthield op het watertongedeelte =D ik was opgew
Average,Positive,dutch,Het team van Merian Cooper en Ernest Schoedsack produceerde een documentaire van 50.000 Bakhtiari-mensen en hun dieren over de zomermigratie naar winterweide. D
Average,Positive,dutch,"Ik zag deze film voor het eerst tijdens de cursus Internationale Filmstudies. Ik ben een 'niet-traditionele' student en waardeerde, misschien vanwege mijn jaren"
Negative,Average,dutch,De fatale fout van het bevel is - naast een idiote plot - dat de personages eenvoudigweg niet resoneren of zelfs maar reageren.<br /><br />Twee voorbeelden: een
Positive,Average,dutch,"Deze film vertoont kunstzinnige filmische technieken waarbij in plaats van dat het landschap de aandacht van de camera trekt, het kleine details zijn in hoe iem"
Positive,Average,dutch,Hoewel niet zo wild en uitzinnig als sommige latere films van Takashi Miike is dit een zeer goed misdaaddrama. <br /><br />Het basisverhaal is het verhaal van e
